Date (UTC);Quarter;ES;ES_DIR;ES_Open;NQ;NQ_DIR;NQ_Open;ZN;ZN_DIR;ZN_Open_dec;FGBM;FGBM_DIR;FGBM_Open;6E;6E_DIR;6E_OPEN
2025-12-29;q1-26;ESH26;1;6956,5;NQH26;-1;25740;ZNH26;1;112,734375;;;;6EH26;1;1,1813
2025-12-30;q1-26;ESH26;1;6945,5;NQH26;1;25683,25;ZNH26;1;112,65625;;;;6EH26;1;1,17885
2025-12-31;q1-26;ESH26;1;6945,5;NQH26;1;25683,25;ZNH26;1;112,65625;;;;6EH26;1;1,17885
2026-01-01;q1-26;ESH26;1;6902;NQH26;1;25478,5;ZNH26;1;112,296875;;;;6EH26;1;1,1786
2026-01-04;q1-26;ESH26;1;6911,5;NQH26;1;25431,75;ZNH26;-1;112,21875;;;;6EH26;1;1,17425
2026-01-05;q1-26;ESH26;1;6945,5;NQH26;1;25583;ZNH26;-1;112,40625;;;;6EH26;1;1,1761
2026-01-06;q1-26;ESH26;1;6988,5;NQH26;1;25831,25;ZNH26;-1;112,375;;;;6EH26;1;1,1725
2026-01-07;q1-26;ESH26;1;6967,5;NQH26;1;25838,75;ZNH26;-1;112,5;;;;6EH26;1;1,1714
2026-01-08;q1-26;ESH26;1;6973,25;NQH26;1;25725;ZNH26;-1;112,34375;;;;6EH26;1;1,1695
2026-01-11;q1-26;ESH26;-1;7007;NQH26;1;25949;ZNH26;-1;112,15625;;;;6EH26;1;1,16685
2026-01-12;q1-26;ESH26;-1;7014;NQH26;1;25953,5;ZNH26;-1;112,203125;;;;6EH26;1;1,17015
2026-01-13;q1-26;ESH26;-1;6998,5;NQH26;1;25900,75;ZNH26;-1;112,203125;;;;6EH26;1;1,16778
2026-01-14;q1-26;ESH26;-1;6955,75;NQH26;1;25593;ZNH26;-1;112,53125;;;;6EH26;1;1,1676
2026-01-15;q1-26;ESH26;-1;6986,75;NQH26;1;25720,5;ZNH26;-1;112,15625;;;;6EH26;1;1,16385
2026-01-18;q1-26;ESH26;1;6918,25;NQH26;1;25471;ZNH26;-1;111,953125;;;;6EH26;1;1,16
2026-01-19;q1-26;ESH26;1;6913,5;NQH26;1;25394,75;ZNH26;-1;111,609375;;;;6EH26;1;1,1674
2026-01-20;q1-26;ESH26;1;6839;NQH26;1;25149,5;ZNH26;-1;111,390625;;;;6EH26;1;1,1755
2026-01-21;q1-26;ESH26;1;6920;NQH26;1;25529,5;ZNH26;-1;111,6875;;;;6EH26;1;1,17125
2026-01-22;q1-26;ESH26;1;6938;NQH26;1;25605;ZNH26;-1;111,625;;;;6EH26;1;1,17835
2026-01-25;q1-26;ESH26;1;6904;NQH26;-1;25585,5;ZNH26;-1;111,828125;;;;6EH26;-1;1,19075
2026-01-26;q1-26;ESH26;1;6977;NQH26;-1;25861,25;ZNH26;-1;111,796875;;;;6EH26;1;1,1906
2026-01-27;q1-26;ESH26;1;7010,25;NQH26;-1;26111,25;ZNH26;-1;111,6875;;;;6EH26;1;1,20735
2026-01-28;q1-26;ESH26;1;7021,5;NQH26;-1;26282,5;ZNH26;-1;111,703125;;;;6EH26;1;1,1982
2026-01-29;q1-26;ESH26;1;6992,75;NQH26;-1;25998,5;ZNH26;-1;111,78125;;;;6EH26;1;1,19905
2026-02-01;q1-26;ESH26;1;6938,5;NQH26;1;25530;ZNH26;1;111,796875;;;;6EH26;1;1,1882
2026-02-02;q1-26;ESH26;1;7004,25;NQH26;1;25876,5;ZNH26;1;111,5625;;;;6EH26;-1;1,18165
2026-02-03;q1-26;ESH26;1;6934;NQH26;1;25387,5;ZNH26;1;111,625;;;;6EH26;-1;1,184
2026-02-04;q1-26;ESH26;1;6915,5;NQH26;1;25061,75;ZNH26;1;111,609375;;;;6EH26;-1;1,183
2026-02-05;q1-26;ESH26;-1;6785,5;NQH26;1;24416;ZNH26;1;112,3125;;;;6EH26;-1;1,1801
2026-02-08;q1-26;ESH26;-1;6960,25;NQH26;1;25153,75;ZNH26;1;111,984375;;;;6EH26;-1;1,18375
2026-02-09;q1-26;ESH26;1;6985;NQH26;1;25363;ZNH26;1;112,15625;;;;6EH26;-1;1,1936
2026-02-10;q1-26;ESH26;1;6971,5;NQH26;1;25259;ZNH26;1;112,5;;;;6EH26;-1;1,19135
2026-02-11;q1-26;ESH26;1;6964,5;NQH26;1;25289;ZNH26;1;112,265625;;;;6EH26;-1;1,1891
2026-02-12;q1-26;ESH26;-1;6865,5;NQH26;1;24842,25;ZNH26;1;112,8125;;;;6EH26;-1;1,1887
2026-02-15;q1-26;ESH26;-1;6852,5;NQH26;1;24789,75;ZNH26;1;113,203125;;;;6EH26;1;1,1885
2026-02-16;q1-26;ESH26;-1;6856;NQH26;1;24746,25;ZNH26;-1;113,234375;;;;6EH26;1;1,18685
2026-02-17;q1-26;ESH26;-1;6862,75;NQH26;1;24773,75;ZNH26;-1;113,09375;;;;6EH26;1;1,18705
2026-02-18;q1-26;ESH26;-1;6891,75;NQH26;1;24943,5;ZNH26;-1;112,921875;;;;6EH26;1;1,17985
2026-02-19;q1-26;ESH26;-1;6874,25;NQH26;1;24837,75;ZNH26;-1;113;;;;6EH26;1;1,17865
